Loading data...
Computing updates...
Compiling functions...
Training...
Epoch 319 took 74.8126428127, cost = 0.0451034959406, error = 0.190651183301
Epoch 320 took 74.6696381569, cost = 0.0454399809241, error = 0.194767014552
Epoch 321 took 74.6471269131, cost = 0.0458960738033, error = 0.194693517566
Epoch 322 took 74.6519680023, cost = 0.0455563422292, error = 0.195134499486
Epoch 323 took 74.6526720524, cost = 0.0457053277642, error = 0.196089960312
Epoch 324 took 74.6163649559, cost = 0.0453861039132, error = 0.198809348817
Epoch 325 took 74.6477601528, cost = 0.0477766953409, error = 0.201234749375
Epoch 326 took 74.638988018, cost = 0.0475318860263, error = 0.203807143907
Epoch 327 took 74.6824378967, cost = 0.0481558218598, error = 0.201822725268
Epoch 328 took 74.8297870159, cost = 0.0469661541283, error = 0.199911803616
Epoch 329 took 74.8463230133, cost = 0.0461924802512, error = 0.197265912098
Epoch 330 took 74.8053719997, cost = 0.0465764850378, error = 0.198368366897
Epoch 331 took 74.8473501205, cost = 0.0467845648527, error = 0.195428487432
Epoch 332 took 74.7825491428, cost = 0.046436291188, error = 0.194326032633
Epoch 333 took 74.7529499531, cost = 0.0464926529676, error = 0.19807437895
Epoch 334 took 74.7454409599, cost = 0.0473382044584, error = 0.197339409084
Epoch 335 took 74.8381569386, cost = 0.046814551577, error = 0.196163457298
Epoch 336 took 74.8051569462, cost = 0.0472689513117, error = 0.200132294576
Epoch 337 took 74.8415629864, cost = 0.0471074078232, error = 0.200279288549
Epoch 338 took 74.8081769943, cost = 0.0465171895921, error = 0.19851536087
Epoch 339 took 74.8181400299, cost = 0.0462715197355, error = 0.194620020579
Epoch 340 took 74.7906520367, cost = 0.0455052796751, error = 0.195722475379
Epoch 341 took 74.8513569832, cost = 0.0469340328127, error = 0.19873585183
Epoch 342 took 74.8246378899, cost = 0.0461066588759, error = 0.195207996472
Epoch 343 took 74.8354859352, cost = 0.0451388265938, error = 0.193664559753
Epoch 344 took 74.7646269798, cost = 0.0451132208109, error = 0.192562104954
Epoch 345 took 74.7772519588, cost = 0.0456860587001, error = 0.193591062766
Epoch 346 took 74.8209648132, cost = 0.0467935148627, error = 0.195869469352
Epoch 347 took 74.8307778835, cost = 0.0478108599782, error = 0.198368366897
Epoch 348 took 74.7919270992, cost = 0.0464169383049, error = 0.195869469352
Epoch 349 took 74.8543541431, cost = 0.0462760403752, error = 0.195428487432
Epoch 350 took 74.8355989456, cost = 0.0477485023439, error = 0.197706894017
Epoch 351 took 74.6663079262, cost = 0.0474412646145, error = 0.197486403057
Epoch 352 took 74.6609299183, cost = 0.0476227402687, error = 0.196530942231
Epoch 353 took 74.6629362106, cost = 0.0468220412731, error = 0.196383948258
Epoch 354 took 74.633836031, cost = 0.0469023641199, error = 0.196236954285
Epoch 355 took 74.6796679497, cost = 0.0471137147397, error = 0.198441863884
Epoch 356 took 74.6404159069, cost = 0.045688977465, error = 0.190210201382
Epoch 357 took 74.6463060379, cost = 0.0474119968712, error = 0.194914008526
Epoch 358 took 74.622232914, cost = 0.0464216023684, error = 0.19263560194
Epoch 359 took 74.6635990143, cost = 0.047208160162, error = 0.193370571807
Epoch 360 took 74.6365988255, cost = 0.0472971368581, error = 0.196016463325
Epoch 361 took 74.6415369511, cost = 0.0473176632077, error = 0.196310451271
Epoch 362 took 74.646310091, cost = 0.0481996126473, error = 0.19917683375
Epoch 363 took 74.70581007, cost = 0.0469529461116, error = 0.195869469352
Epoch 364 took 74.8013179302, cost = 0.047859730199, error = 0.196751433191
Epoch 365 took 74.8262450695, cost = 0.0473604165018, error = 0.196163457298
